naam,locatie,prijs,beoordeling,Stad,Checkin_datum,Checkout_datum,Num_volwassenen,Num_kinderen,Datum_tijd_stempel
Ruby Emma Hotel Amsterdam,"Amsterdam Oost, Amsterdam",132,8.6,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Sonder Park House,"Amsterdam Oud-Zuid, Amsterdam",172,7.5,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
XO Hotels Infinity,"Geuzenveld-Slotermeer, Amsterdam",41,7.7,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Hotel Iron Horse Amsterdam,"Amsterdam Oud-West, Amsterdam",56,7.4,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Van der Valk Hotel Amsterdam - Amstel,"Amsterdam Oost, Amsterdam",130,8.6,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Hotel Amsterdam Inn,"Amsterdam Centrum, Amsterdam",45,6.8,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
YOTEL Amsterdam,"Amsterdam Noord, Amsterdam",83,8.0,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Hampton By Hilton Amsterdam Arena Boulevard,"Amsterdam Zuidoost, Amsterdam",105,8.1,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Huygens Place Amsterdam,"Amsterdam Oud-West, Amsterdam",82,8.5,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
France Hotel,"Amsterdam Centrum, Amsterdam",67,7.4,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Hampton by Hilton Amsterdam Centre East,"Zeeburg, Amsterdam",113,8.4,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Park Inn by Radisson Amsterdam City West,"Amsterdam Westpoort, Amsterdam",117,7.9,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Amsterdam Downtown Hotel,"Amsterdam Centrum, Amsterdam",63,7.0,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Qbic Amsterdam WTC,"Zuideramstel, Amsterdam",68,7.8,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Tribe Amsterdam City,"Amsterdam Noord, Amsterdam",87,9.0,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Hotel CC,"Amsterdam Centrum, Amsterdam",88,7.9,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Pestana Amsterdam Riverside,"Amsterdam Oud-Zuid, Amsterdam",201,8.5,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Van der Valk Hotel Amsterdam Zuidas -Rai,"Zuideramstel, Amsterdam",194,8.7,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Jaz in the City Amsterdam,"Amsterdam Zuidoost, Amsterdam",117,8.7,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
