naam,locatie,prijs,beoordeling,Stad,Checkin_datum,Checkout_datum,Num_volwassenen,Num_kinderen,Datum_tijd_stempel
Mabi City Centre Hotel,"Boschstraatkwartier, Maastricht",78,8.1,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
Hotel Monastère Maastricht,"Boschstraatkwartier, Maastricht",69,8.0,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
KABOOM Maastricht,"Wyck, Maastricht",68,7.9,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
The Green Elephant Hostel & Spa,"Wyck, Maastricht",50,8.1,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
Buitenplaats Vaeshartelt,Maastricht,85,8.2,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
Alex Maastricht,"Wyck, Maastricht",74,8.5,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
Townhouse Design Hotel & Spa,"Wyck, Maastricht",82,7.9,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
Maison Haas Hustinx & Spa,"Centrum Maastricht, Maastricht",135,8.8,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
Hotel Van der Valk Maastricht,Maastricht,125,8.4,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
NH Maastricht,"Randwijck, Maastricht",107,7.7,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
Bastion Hotel Maastricht Centrum,"Boschstraatkwartier, Maastricht",71,7.0,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
The Social Hub Maastricht,"Boschstraatkwartier, Maastricht",70,8.3,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
Designhotel Maastricht,"Wyck, Maastricht",96,8.0,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
"Fitz Roy Urban Hotel, Bar and Garden","Boschstraatkwartier, Maastricht",120,8.5,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
Stayokay Hostel Maastricht,"Jekerkwartier, Maastricht",67,8.2,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
Le Theatre,"Centrum Maastricht, Maastricht",120,8.4,Maastricht,2024-01-28,2024-01-29,2,0,2024-01-24 12:44:05.051337
