DATAFLOW,LAST UPDATE,freq,accomunit,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT,2013,28.3,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT,2014,28.3,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT,2015,40,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT,2016,41,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT,2017,47,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT,2018,48,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT,2019,48,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT,2020,28,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT,2021,27,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT,2022,43,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT1,2013,25.7,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT1,2014,27,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT1,2015,43,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT1,2016,44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT1,2017,47,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,AT1,2018,48,
