DATAFLOW,LAST UPDATE,freq,accommod,duration,purpose,c_dest,statinfo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AL,2017,4.34,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AL,2019,6.27,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AL,2020,11.03,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AT,2013,58.14,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AT,2014,52.51,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AT,2015,53.98,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AT,2016,55.53,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AT,2017,57.84,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AT,2018,58.23,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AT,2019,60.07,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AT,2020,49.96,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AT,2021,53.77,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,AT,2022,57.35,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,BE,2013,36.93,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,BE,2014,32.04,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,BE,2015,32.81,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,BE,2016,30.05,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,BE,2017,41.11,b
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,BE,2018,38.77,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,BE,2019,40.46,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,BE,2020,26.77,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,BE,2021,27.31,
ESTAT:TOUR_DEM_EXAC(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_NGT,EUR,BE,2022,36.54,
