DATAFLOW,LAST UPDATE,freq,tra_mode,duration,purpose,c_dest,statinfo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AL,2017,35.34,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AL,2019,27.58,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AL,2020,15.99,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AT,2013,189.78,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AT,2014,191.81,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AT,2015,185.49,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AT,2016,178.12,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AT,2017,181.78,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AT,2018,176.63,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AT,2019,184.54,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AT,2020,124.58,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AT,2021,153.25,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,AT,2022,213.93,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BE,2013,209.84,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BE,2014,174.16,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BE,2015,147.60,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BE,2016,217.93,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BE,2017,164.08,b
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BE,2018,160.44,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BE,2019,183.99,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BE,2020,115.78,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BE,2021,126.43,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BE,2022,166.55,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BG,2013,40.67,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BG,2014,49.99,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BG,2015,44.98,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BG,2016,42.36,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BG,2017,37.75,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BG,2018,38.64,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BG,2019,49.92,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BG,2020,46.76,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BG,2021,37.53,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,BG,2022,59.10,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CH,2013,217.43,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CH,2014,204.17,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CH,2015,245.59,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CH,2016,243.13,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CH,2017,228.70,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CH,2018,219.63,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CH,2019,250.76,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CH,2020,129.29,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CH,2021,129.88,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CY,2013,163.39,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CY,2014,164.50,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CY,2015,152.05,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CY,2016,166.27,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CY,2017,182.94,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CY,2018,160.52,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CY,2019,185.61,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CY,2020,85.21,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CY,2021,71.72,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CY,2022,174.65,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CZ,2013,29.71,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CZ,2014,27.88,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CZ,2015,28.93,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CZ,2016,29.22,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CZ,2017,30.52,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CZ,2018,34.83,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CZ,2019,34.56,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CZ,2020,19.07,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CZ,2021,26.89,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,CZ,2022,35.24,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DE,2013,180.55,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DE,2014,170.33,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DE,2015,174.83,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DE,2016,169.81,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DE,2017,198.99,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DE,2018,209.66,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DE,2019,188.07,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DE,2020,115.10,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DE,2021,128.04,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DE,2022,190.32,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DK,2013,97.06,b
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DK,2014,114.08,b
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DK,2015,94.14,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DK,2016,114.79,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DK,2017,184.17,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DK,2018,278.38,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DK,2019,159.59,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DK,2020,59.58,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,DK,2021,65.79,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EA20,2013,120.45,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EA20,2014,115.74,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EA20,2015,121.32,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EA20,2016,119.91,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EA20,2017,128.59,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EA20,2018,136.15,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EA20,2019,130.65,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EA20,2020,87.42,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EA20,2021,92.53,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EA20,2022,132.46,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EE,2013,76.13,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EE,2014,66.54,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EE,2015,86.78,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EE,2016,76.17,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EE,2017,74.07,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EE,2018,108.04,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EE,2019,117.03,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EE,2020,96.50,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EE,2021,91.42,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EE,2022,129.24,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2013,82.26,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2014,76.62,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2015,72.96,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2016,81.29,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2017,80.01,
